Mouser Part Number,Quantity,Mfr Part Number,Description,Designators
603-MFR-25FBF52-100R,10,MFR-25FBF52-100R,Yageo 100R,R5
594-K104K15X7RF5UH5,20,K104K15X7RF5UH5,Vishay 100n,"C1,C2"
603-MFR-25FBF52-10K,26,MFR-25FBF52-10K,Yageo 10k,"R1,R11,R2,R4"
603-MFR-25FBF52-270K,10,MFR-25FBF52-270K,Yageo 270k,R3
603-MFR-25FBF52-2K2,10,MFR-25FBF52-2K2,Yageo 2k2,R7
505-FKP2D013301G00JS,10,FKP2D013301G00JSSD,WIMA 3n3 C0G,C3
652-3296W-1-503LF,6,3296W-1-503LF,Bourns 50k,RV1
306-B5BPHKSLFSNP,10,B5B-PH-K-S(LF)(SN),JST JST-PH 5,J1
595-LM393P,10,LM393P,TI LM393,U2
595-OPT101P,7,OPT101P,TI OPT101,U1
571-1-2199298-2,10,1-2199298-2,TE DIP-8 socket,-
306-PHR-5PP,5,PHR-5,JST PH housing,-
306-SPH-002T-P0.5S,25,SPH-002T-P0.5S,JST PH crimps,-
