Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",10.000000,24.000000,180.000000,bottom
"C2","100n","C_0805_2012Metric",33.000000,23.000000,0.000000,bottom
"C3","3n3 C0G","C_0805_2012Metric",27.500000,13.000000,0.000000,bottom
"D1","DNP LED","LED_0805_2012Metric",37.500000,30.000000,180.000000,bottom
"J1","JST-PH 5","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",12.000000,3.000000,0.000000,bottom
"J2","DNP 1x05","PinHeader_1x05_P2.54mm_Vertical",12.000000,8.500000,-90.000000,bottom
"R1","39k","R_0805_2012Metric",40.000000,24.000000,0.000000,bottom
"R2","10k","R_0805_2012Metric",40.000000,12.000000,180.000000,bottom
"R3","270k","R_0805_2012Metric",40.000000,21.500000,180.000000,bottom
"R4","10k","R_0805_2012Metric",24.000000,13.000000,0.000000,bottom
"R5","100R","R_0805_2012Metric",40.000000,9.000000,180.000000,bottom
"R6","DNP","R_0805_2012Metric",7.500000,17.000000,90.000000,bottom
"R7","2k2","R_0805_2012Metric",44.000000,21.500000,180.000000,bottom
"R8","DNP","R_0805_2012Metric",44.000000,24.000000,180.000000,bottom
"R9","DNP 1k","R_0805_2012Metric",34.000000,30.000000,0.000000,bottom
"R11","10k","R_0805_2012Metric",25.000000,25.000000,180.000000,bottom
"R12","DNP","R_0805_2012Metric",25.000000,22.000000,180.000000,bottom
"R13","DNP","R_0805_2012Metric",28.500000,22.000000,0.000000,bottom
"R14","2k2","R_0805_2012Metric",28.500000,25.000000,180.000000,bottom
"R15","DNP","R_0805_2012Metric",34.500000,12.000000,0.000000,bottom
"U2","LM393","SOIC-8_3.9x4.9mm_P1.27mm",34.000000,17.000000,180.000000,bottom
"U1","OPT101","DIP-8_W7.62mm",10.190000,20.810000,0.000000,top
